lbr_σ,rbr_σ,th_α,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
-2.6,6.0,-0.5,4,0.9566,0.002881542642405279,0.199,0.00564621997446079
-2.5,6.0,-0.5,4,0.9224,0.003783602516121375,0.127,0.004708948927308513
-3.5,6.1,-0.5,4,1.0,0.0,0.901,0.004223718740636029
-3.4,6.1,-0.5,4,1.0,0.0,0.861,0.004892422712726283
-3.3,6.1,-0.5,4,0.999,0.0004469899327725404,0.7972,0.005686337309727589
-3.2,6.1,-0.5,4,0.9988,0.0004896039215529179,0.7112,0.006409283267261636
-3.1,6.1,-0.5,4,0.9962,0.0008701218305501851,0.6254,0.006845068882049325
-3.0,6.1,-0.5,4,0.9948,0.001017148956643026,0.511,0.007069356406349874
-2.9,6.1,-0.5,4,0.9898,0.0014209827585160903,0.4144,0.006966672663474293
-2.8,6.1,-0.5,4,0.9806,0.0019505711983929207,0.3448,0.006721799758993122
-2.7,6.1,-0.5,4,0.9676,0.0025040063897682043,0.243,0.0060654925603779285
-2.6,6.1,-0.5,4,0.9398,0.0033638061775316374,0.1696,0.005307275007006892
-2.5,6.1,-0.5,4,0.9166,0.003910100765964991,0.1148,0.004508236018666281
-3.5,6.2,-0.5,4,0.9998,0.00019997999899988897,0.8912,0.004403692995657168
-3.4,6.2,-0.5,4,0.9996,0.0002827861382741226,0.8204,0.0054285143455645385
-3.3,6.2,-0.5,4,0.9988,0.0004896039215529179,0.759,0.006048454348013218
-3.2,6.2,-0.5,4,0.9988,0.0004896039215529179,0.6806,0.006593688497343502
-3.1,6.2,-0.5,4,0.9954,0.000956957679315031,0.5784,0.006983601363193635
-3.0,6.2,-0.5,4,0.9924,0.00122818891055082,0.4812,0.007066067647567492
-2.9,6.2,-0.5,4,0.9844,0.001752520470636503,0.382,0.006871331748649602
-2.8,6.2,-0.5,4,0.976,0.00216443988135499,0.2902,0.006418472715529762
-2.7,6.2,-0.5,4,0.955,0.0029317230428538106,0.2118,0.005778248177432326
-2.6,6.2,-0.5,4,0.9256,0.0037111895667023,0.1458,0.004990838807254748
-2.5,6.2,-0.5,4,0.883,0.004545569271279451,0.1004,0.004250172702373399
-3.5,6.3,-0.5,4,0.9994,0.0003463062228721987,0.8578,0.004939213702604899
-3.4,6.3,-0.5,4,0.999,0.0004469899327725404,0.8074,0.005576831358396988
-3.3,6.3,-0.5,4,0.9984,0.0005652326954449903,0.7224,0.006333059923923031
-3.2,6.3,-0.5,4,0.998,0.0006318227599572528,0.6306,0.006825593600559588
-3.1,6.3,-0.5,4,0.9938,0.0011100954913880142,0.5408,0.007047486927976525
-3.0,6.3,-0.5,4,0.9898,0.0014209827585160903,0.4304,0.007002225931801972
-2.9,6.3,-0.5,4,0.9832,0.0018175676053451238,0.3436,0.006716234659390632
-2.8,6.3,-0.5,4,0.9612,0.0027311008769358904,0.2576,0.006184532965390353
