lbr_σ,rbr_σ,th_σ,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
0.0,1.0,0.4,4,0.5608,0.007018594731140985,0.056,0.003251584229264252
0.2,1.0,0.4,4,0.554,0.007029708386554879,0.052,0.003139936305086458
0.4,1.0,0.4,4,0.5312,0.007057287864328619,0.0556,0.0032406369744233925
0.6,1.0,0.4,4,0.5038,0.007070863596478156,0.048,0.0030231109804305894
0.8,1.0,0.4,4,0.4524,0.007038952194751716,0.0464,0.0029747954551531774
1.0,1.0,0.4,4,0.4082,0.0069508669962818305,0.0476,0.0030111207215918795
0.0,0.0,0.6,4,0.5798,0.006980429213164474,0.055,0.0032241277890307017
0.2,0.0,0.6,4,0.5646,0.0070118020508283035,0.0528,0.003162662169755094
0.4,0.0,0.6,4,0.5248,0.007062364476575816,0.052,0.003139936305086458
0.6,0.0,0.6,4,0.4944,0.007070624300583366,0.048,0.0030231109804305894
0.8,0.0,0.6,4,0.4586,0.007046787069296192,0.0514,0.0031227564746550444
1.0,0.0,0.6,4,0.42,0.006979971346646059,0.0506,0.0030996657884359083
0.0,0.2,0.6,4,0.5724,0.006996545433283485,0.048,0.0030231109804305894
0.2,0.2,0.6,4,0.5526,0.007031831055991035,0.0456,0.0029502759192997527
0.4,0.2,0.6,4,0.5324,0.007056206346189147,0.053,0.003168311853337673
0.6,0.2,0.6,4,0.499,0.00707105366971571,0.0562,0.003257040374327589
0.8,0.2,0.6,4,0.465,0.007053722421530351,0.0444,0.002913027291324268
1.0,0.2,0.6,4,0.411,0.006958146304871722,0.0542,0.0032019481569819336
0.0,0.4,0.6,4,0.554,0.007029708386554879,0.047,0.002993025225419926
0.2,0.4,0.6,4,0.5578,0.007023662292565041,0.0494,0.003064625262572897
0.4,0.4,0.6,4,0.534,0.007054700560619139,0.0498,0.0030763601869742106
0.6,0.4,0.6,4,0.4846,0.0070677130671809255,0.0528,0.003162662169755094
0.8,0.4,0.6,4,0.456,0.007043635424977645,0.0496,0.0030704996336101396
1.0,0.4,0.6,4,0.4154,0.006969115295358515,0.0486,0.0030409879973455995
0.0,0.6,0.6,4,0.5438,0.007043884723645043,0.0578,0.003300277564084573
0.2,0.6,0.6,4,0.5438,0.007043884723645043,0.0592,0.0033375248313683003
0.4,0.6,0.6,4,0.5192,0.007065852531719014,0.05,0.0030822070014844883
0.6,0.6,0.6,4,0.4858,0.0070682156164056,0.0528,0.003162662169755094
0.8,0.6,0.6,4,0.4564,0.007044132877792696,0.0518,0.003134222710657301
1.0,0.6,0.6,4,0.4064,0.006946064209320268,0.0526,0.003156999841621789
0.0,0.8,0.6,4,0.5288,0.007059328013345179,0.046,0.002962566454950842
0.2,0.8,0.6,4,0.5254,0.007061937977637583,0.0536,0.003185185708871619
0.4,0.8,0.6,4,0.4994,0.0070710627206948175,0.0488,0.00304691844328003
0.6,0.8,0.6,4,0.4838,0.0070673553752446895,0.0574,0.0032895361375124
0.8,0.8,0.6,4,0.4214,0.006983151723971061,0.05,0.0030822070014844883
1.0,0.8,0.6,4,0.3866,0.006886805355170131,0.0522,0.003145636978419474
0.0,1.0,0.6,4,0.4924,0.007070250914925157,0.0442,0.0029067631482458285
0.2,1.0,0.6,4,0.4902,0.007069709470692555,0.0532,0.003173948959892077
0.4,1.0,0.6,4,0.477,0.007063582660378514,0.053,0.003168311853337673
0.6,1.0,0.6,4,0.4468,0.0070309282459715084,0.0522,0.003145636978419474
0.8,1.0,0.6,4,0.417,0.006972962067873307,0.0514,0.0031227564746550444
1.0,1.0,0.6,4,0.3708,0.006830920289390002,0.0522,0.003145636978419474
0.0,0.0,0.8,4,0.4864,0.007068451598476148,0.0478,0.003017123133052412
0.2,0.0,0.8,4,0.4904,0.007069764352508505,0.0488,0.00304691844328003
0.4,0.0,0.8,4,0.4744,0.007061793539887725,0.0526,0.003156999841621789
0.6,0.0,0.8,4,0.4584,0.007046551497009016,0.0488,0.00304691844328003
0.8,0.0,0.8,4,0.4062,0.006945524602216884,0.056,0.003251584229264252
1.0,0.0,0.8,4,0.3792,0.006861593983907821,0.0516,0.0031284961243383375
0.0,0.2,0.8,4,0.494,0.007070558676653493,0.0502,0.003088040155179333
0.2,0.2,0.8,4,0.4904,0.007069764352508505,0.0526,0.003156999841621789
0.4,0.2,0.8,4,0.475,0.007062223445912767,0.0492,0.0030587369942510585
0.6,0.2,0.8,4,0.4484,0.007033312732987209,0.0474,0.0030051036587778464
0.8,0.2,0.8,4,0.4128,0.006962702923434261,0.0554,0.0032351457463304493
1.0,0.2,0.8,4,0.3858,0.006884160951052786,0.0508,0.0031054584202658392
0.0,0.4,0.8,4,0.4938,0.007070524167273598,0.0474,0.0030051036587778464
0.2,0.4,0.8,4,0.4732,0.007060903058391327,0.0512,0.0031170036894427955
0.4,0.4,0.8,4,0.4636,0.007052305155053913,0.0554,0.0032351457463304493
0.6,0.4,0.8,4,0.438,0.00701649485141976,0.0472,0.0029990718564249174
0.8,0.4,0.8,4,0.406,0.006944983801277006,0.0466,0.002980887116279313
1.0,0.4,0.8,4,0.3758,0.006849443189048289,0.051,0.003111237695837462
0.0,0.6,0.8,4,0.492,0.007070162657251953,0.0498,0.0030763601869742106
0.2,0.6,0.8,4,0.4728,0.00706059714188538,0.0446,0.0029192752525241603
0.4,0.6,0.8,4,0.4658,0.007054507211705152,0.0498,0.0030763601869742106
0.6,0.6,0.8,4,0.44,0.007019971509913698,0.052,0.003139936305086458
0.8,0.6,0.8,4,0.3946,0.006912175344998129,0.0444,0.002913027291324268
1.0,0.6,0.8,4,0.3644,0.006806065530098869,0.0542,0.0032019481569819336
0.0,0.8,0.8,4,0.481,0.007065960656556191,0.05,0.0030822070014844883
0.2,0.8,0.8,4,0.4572,0.007045114051596325,0.0538,0.0031907854832313627
0.4,0.8,0.8,4,0.4508,0.007036751523252757,0.0524,0.003151324800778238
0.6,0.8,0.8,4,0.4252,0.006991494260885866,0.0506,0.0030996657884359083
0.8,0.8,0.8,4,0.383,0.006874750904578289,0.0514,0.0031227564746550444
1.0,0.8,0.8,4,0.363,0.006800455867072442,0.0516,0.0031284961243383375
0.0,1.0,0.8,4,0.455,0.0070423717595707765,0.0478,0.003017123133052412
0.2,1.0,0.8,4,0.4288,0.006999007929699752,0.0528,0.003162662169755094
0.4,1.0,0.8,4,0.4078,0.006949808054903387,0.0482,0.0030290843500965763
0.6,1.0,0.8,4,0.4004,0.0069293555255882195,0.0448,0.002925507135523686
0.8,1.0,0.8,4,0.3792,0.006861593983907821,0.0576,0.0032949124419322587
1.0,1.0,0.8,4,0.346,0.006727317444568823,0.0482,0.0030290843500965763
0.0,0.0,1.0,4,0.4166,0.006972007458401059,0.0518,0.003134222710657301
0.2,0.0,1.0,4,0.413,0.0069632032858448125,0.0532,0.003173948959892077
0.4,0.0,1.0,4,0.4066,0.006946602622865367,0.0526,0.003156999841621789
0.6,0.0,1.0,4,0.3936,0.006909110507149239,0.056,0.003251584229264252
0.8,0.0,1.0,4,0.372,0.006835437074540296,0.0544,0.0032075111847038036
1.0,0.0,1.0,4,0.338,0.006689633771739676,0.0496,0.0030704996336101396
0.0,0.2,1.0,4,0.4148,0.006967653263474008,0.0534,0.0031795735563122296
0.2,0.2,1.0,4,0.406,0.006944983801277006,0.045,0.0029317230428538097
0.4,0.2,1.0,4,0.407,0.00694767587039004,0.0468,0.0029869636757081596
0.6,0.2,1.0,4,0.3914,0.0069022610788059885,0.0496,0.0030704996336101396
0.8,0.2,1.0,4,0.3764,0.006851613532592159,0.0482,0.0030290843500965763
1.0,0.2,1.0,4,0.3374,0.006686721767802217,0.0492,0.0030587369942510585
0.0,0.4,1.0,4,0.4294,0.007000223425005805,0.045,0.0029317230428538097
0.2,0.4,1.0,4,0.4164,0.0069715283833604235,0.0524,0.003151324800778238
0.4,0.4,1.0,4,0.4032,0.006937287077813632,0.0518,0.003134222710657301
0.6,0.4,1.0,4,0.3784,0.006858767236172984,0.0476,0.0030111207215918795
0.8,0.4,1.0,4,0.3604,0.006789872458301407,0.0518,0.003134222710657301
1.0,0.4,1.0,4,0.3358,0.006678897513811692,0.0564,0.0032624849424939878
0.0,0.6,1.0,4,0.4206,0.0069813414183808545,0.0518,0.003134222710657301
0.2,0.6,1.0,4,0.4042,0.0069400628239231375,0.0512,0.0031170036894427955
0.4,0.6,1.0,4,0.4036,0.006938400968522935,0.0504,0.0030938597253269257
0.6,0.6,1.0,4,0.3896,0.006896547542067697,0.05,0.0030822070014844883
0.8,0.6,1.0,4,0.3684,0.00682175109484361,0.0506,0.0030996657884359083
1.0,0.6,1.0,4,0.3458,0.006726401117982781,0.052,0.003139936305086458
0.0,0.8,1.0,4,0.4214,0.006983151723971061,0.0538,0.0031907854832313627
0.2,0.8,1.0,4,0.4138,0.006965192890365636,0.047,0.002993025225419926
0.4,0.8,1.0,4,0.4002,0.006928779979188255,0.0508,0.0031054584202658392
0.6,0.8,1.0,4,0.373,0.006839166615896998,0.0482,0.0030290843500965763
0.8,0.8,1.0,4,0.3648,0.0068076568656183015,0.0456,0.0029502759192997527
1.0,0.8,1.0,4,0.3302,0.006650833932673406,0.0488,0.00304691844328003
0.0,1.0,1.0,4,0.3926,0.006906015348954851,0.0514,0.0031227564746550444
0.2,1.0,1.0,4,0.3918,0.006903517364358549,0.0472,0.0029990718564249174
0.4,1.0,1.0,4,0.3758,0.006849443189048289,0.049,0.0030528347482299137
0.6,1.0,1.0,4,0.3742,0.006843600806592974,0.054,0.003196372944448129
0.8,1.0,1.0,4,0.3524,0.0067559490821053406,0.055,0.0032241277890307017
1.0,1.0,1.0,4,0.3168,0.006579327625221289,0.05,0.0030822070014844883
0.0,0.0,0.0,5,0.8034,0.005620470442943367,0.0522,0.003145636978419474
0.2,0.0,0.0,5,0.7864,0.005796120081571809,0.0504,0.0030938597253269257
0.4,0.0,0.0,5,0.7502,0.006122090492634032,0.0484,0.0030350433275325743
0.6,0.0,0.0,5,0.669,0.00665490796330047,0.0522,0.003145636978419474
0.8,0.0,0.0,5,0.6054,0.006912175344998129,0.0522,0.003145636978419474
1.0,0.0,0.0,5,0.525,0.007062223445912767,0.051,0.003111237695837462
0.0,0.2,0.0,5,0.7944,0.00571539394967661,0.0482,0.0030290843500965763
0.2,0.2,0.0,5,0.7878,0.00578223417028401,0.0498,0.0030763601869742106
0.4,0.2,0.0,5,0.7356,0.006236868444981022,0.0498,0.0030763601869742106
0.6,0.2,0.0,5,0.6764,0.006616389347672944,0.0512,0.0031170036894427955
0.8,0.2,0.0,5,0.5986,0.006932215230357464,0.0498,0.0030763601869742106
1.0,0.2,0.0,5,0.5182,0.0070663818181584265,0.0522,0.003145636978419474
0.0,0.4,0.0,5,0.7866,0.005794142559516464,0.0476,0.0030111207215918795
0.2,0.4,0.0,5,0.7646,0.005999780662657595,0.0546,0.003213062090903318
0.4,0.4,0.0,5,0.7264,0.006304649712712039,0.0472,0.0029990718564249174
0.6,0.4,0.0,5,0.6562,0.006717165473620551,0.0522,0.003145636978419474
0.8,0.4,0.0,5,0.5924,0.006949276796904841,0.0506,0.0030996657884359083
1.0,0.4,0.0,5,0.5122,0.007068962583010325,0.0528,0.003162662169755094
0.0,0.6,0.0,5,0.7582,0.006055291239899201,0.0492,0.0030587369942510585
0.2,0.6,0.0,5,0.739,0.00621094195754557,0.0472,0.0029990718564249174
0.4,0.6,0.0,5,0.7016,0.0064708181862883464,0.051,0.003111237695837462
0.6,0.6,0.0,5,0.6496,0.006747145174071772,0.0526,0.003156999841621789
0.8,0.6,0.0,5,0.5804,0.006979052084631551,0.051,0.003111237695837462
1.0,0.6,0.0,5,0.505,0.007070714249635605,0.0484,0.0030350433275325743
0.0,0.8,0.0,5,0.7084,0.006427588039070333,0.0464,0.0029747954551531774
0.2,0.8,0.0,5,0.7076,0.006432763636260857,0.0522,0.003145636978419474
0.4,0.8,0.0,5,0.6796,0.006599149036050027,0.0508,0.0031054584202658392
0.6,0.8,0.0,5,0.6198,0.006865099562278758,0.0506,0.0030996657884359083
0.8,0.8,0.0,5,0.5502,0.007035338797812086,0.045,0.0029317230428538097
1.0,0.8,0.0,5,0.4578,0.007045837920361212,0.046,0.002962566454950842
0.0,1.0,0.0,5,0.6772,0.006612112521728589,0.0514,0.0031227564746550444
0.2,1.0,0.0,5,0.663,0.006684773743366338,0.0542,0.0032019481569819336
0.4,1.0,0.0,5,0.632,0.006820205275503076,0.0458,0.0029564289269319497
0.6,1.0,0.0,5,0.5876,0.006961698643291018,0.0512,0.0031170036894427955
0.8,1.0,0.0,5,0.5236,0.007063186816161669,0.0498,0.0030763601869742106
1.0,1.0,0.0,5,0.4528,0.0070394908906823645,0.0488,0.00304691844328003
0.0,0.0,0.2,5,0.7628,0.006015582432316924,0.0504,0.0030938597253269257
0.2,0.0,0.2,5,0.7468,0.0061496302327863584,0.0486,0.0030409879973455995
0.4,0.0,0.2,5,0.6926,0.006525415542323723,0.0504,0.0030938597253269257
0.6,0.0,0.2,5,0.648,0.006754198694145739,0.0498,0.0030763601869742106
0.8,0.0,0.2,5,0.5702,0.007001027924526512,0.0498,0.0030763601869742106
1.0,0.0,0.2,5,0.5102,0.007069596310964298,0.0486,0.0030409879973455995
0.0,0.2,0.2,5,0.7472,0.006146416191570499,0.0482,0.0030290843500965763
0.2,0.2,0.2,5,0.7512,0.00611389499419151,0.0568,0.0032733395790843335
0.4,0.2,0.2,5,0.6992,0.006485666658100769,0.0472,0.0029990718564249174
0.6,0.2,0.2,5,0.6478,0.006755074536968485,0.051,0.003111237695837462
0.8,0.2,0.2,5,0.5742,0.00699277284058334,0.0488,0.00304691844328003
1.0,0.2,0.2,5,0.496,0.007070841534074993,0.0506,0.0030996657884359083
0.0,0.4,0.2,5,0.7388,0.006212480342021212,0.0486,0.0030409879973455995
0.2,0.4,0.2,5,0.7264,0.006304649712712039,0.045,0.0029317230428538097
0.4,0.4,0.2,5,0.6926,0.006525415542323723,0.0492,0.0030587369942510585
0.6,0.4,0.2,5,0.627,0.006839166615896998,0.0526,0.003156999841621789
0.8,0.4,0.2,5,0.5642,0.0070125367735221185,0.0484,0.0030350433275325743
1.0,0.4,0.2,5,0.4894,0.007069478622925455,0.0514,0.0031227564746550444
0.0,0.6,0.2,5,0.7202,0.006348416495473497,0.0544,0.0032075111847038036
0.2,0.6,0.2,5,0.7008,0.006475791225788553,0.0518,0.003134222710657301
0.4,0.6,0.2,5,0.6726,0.006636403242721165,0.0532,0.003173948959892077
0.6,0.6,0.2,5,0.603,0.006919407489084596,0.0522,0.003145636978419474
0.8,0.6,0.2,5,0.5474,0.00703922211611482,0.051,0.003111237695837462
1.0,0.6,0.2,5,0.467,0.007055650218087628,0.0532,0.003173948959892077
0.0,0.8,0.2,5,0.6726,0.006636403242721165,0.0508,0.0031054584202658392
0.2,0.8,0.2,5,0.67,0.0066498120274185194,0.0492,0.0030587369942510585
0.4,0.8,0.2,5,0.6264,0.006841389332584428,0.05,0.0030822070014844883
0.6,0.8,0.2,5,0.5896,0.0069566060690540756,0.0518,0.003134222710657301
0.8,0.8,0.2,5,0.5212,0.007064708911200801,0.0486,0.0030409879973455995
1.0,0.8,0.2,5,0.4674,0.0070560221088089,0.05,0.0030822070014844883
0.0,1.0,0.2,5,0.637,0.006800455867072442,0.0516,0.0031284961243383375
0.2,1.0,0.2,5,0.6218,0.0068580574509113,0.0484,0.0030350433275325743
0.4,1.0,0.2,5,0.5982,0.0069333507051064424,0.0484,0.0030350433275325743
0.6,1.0,0.2,5,0.5468,0.007040024999955611,0.0514,0.0031227564746550444
0.8,1.0,0.2,5,0.488,0.007069031050999847,0.044,0.002900482718445328
1.0,1.0,0.2,5,0.4428,0.007024644617345421,0.0416,0.002823807358868519
0.0,0.0,0.4,5,0.6778,0.006608890375849792,0.0514,0.0031227564746550444
0.2,0.0,0.4,5,0.674,0.006629087418340476,0.044,0.002900482718445328
0.4,0.0,0.4,5,0.6334,0.006814755168015943,0.0512,0.0031170036894427955
0.6,0.0,0.4,5,0.577,0.0069867159667471816,0.0468,0.0029869636757081596
0.8,0.0,0.4,5,0.5208,0.007064946708928525,0.048,0.0030231109804305894
1.0,0.0,0.4,5,0.448,0.007032723512267492,0.0512,0.0031170036894427955
0.0,0.2,0.4,5,0.6574,0.006711560772279425,0.053,0.003168311853337673
0.2,0.2,0.4,5,0.6558,0.006719023143285041,0.051,0.003111237695837462
0.4,0.2,0.4,5,0.6294,0.0068301631020056906,0.0438,0.0028941858958954243
0.6,0.2,0.4,5,0.5796,0.006980885903665809,0.054,0.003196372944448129
0.8,0.2,0.4,5,0.53,0.007058328414008518,0.055,0.0032241277890307017
1.0,0.2,0.4,5,0.4602,0.0070486305052825686,0.0572,0.0032841485959073167
0.0,0.4,0.4,5,0.666,0.006669992503743913,0.05,0.0030822070014844883
0.2,0.4,0.4,5,0.6594,0.006702113696439356,0.0522,0.003145636978419474
0.4,0.4,0.4,5,0.6202,0.006863701042440587,0.0496,0.0030704996336101396
0.6,0.4,0.4,5,0.567,0.007007296197535822,0.0496,0.0030704996336101396
0.8,0.4,0.4,5,0.5122,0.007068962583010325,0.0476,0.0030111207215918795
1.0,0.4,0.4,5,0.4594,0.007047717928521259,0.0496,0.0030704996336101396
0.0,0.6,0.4,5,0.6384,0.006794783881772842,0.055,0.0032241277890307017
0.2,0.6,0.4,5,0.633,0.0068163186545231284,0.0518,0.003134222710657301
0.4,0.6,0.4,5,0.5966,0.006937844622071036,0.0592,0.0033375248313683003
0.6,0.6,0.4,5,0.5552,0.007027844050631744,0.0464,0.0029747954551531774
0.8,0.6,0.4,5,0.4976,0.007070986352695075,0.043,0.0028688325151531584
1.0,0.6,0.4,5,0.443,0.007024969750824553,0.056,0.003251584229264252
0.0,0.8,0.4,5,0.619,0.006867881769512344,0.0456,0.0029502759192997527
0.2,0.8,0.4,5,0.5926,0.0069487443470025575,0.0474,0.0030051036587778464
0.4,0.8,0.4,5,0.5738,0.006993619377689924,0.0474,0.0030051036587778464
0.6,0.8,0.4,5,0.5372,0.007051470201312631,0.0494,0.003064625262572897
0.8,0.8,0.4,5,0.4644,0.007053121861984238,0.0458,0.0029564289269319497
1.0,0.8,0.4,5,0.4192,0.006978128115762852,0.0528,0.003162662169755094
0.0,1.0,0.4,5,0.5806,0.0069785906886705995,0.0474,0.0030051036587778464
0.2,1.0,0.4,5,0.569,0.007003413453452538,0.053,0.003168311853337673
0.4,1.0,0.4,5,0.5372,0.007051470201312631,0.054,0.003196372944448129
0.6,1.0,0.4,5,0.5206,0.00706506390629271,0.0542,0.0032019481569819336
0.8,1.0,0.4,5,0.4678,0.007056389445034904,0.05,0.0030822070014844883
1.0,1.0,0.4,5,0.404,0.006939510069161943,0.054,0.003196372944448129
0.0,0.0,0.6,5,0.5926,0.0069487443470025575,0.0472,0.0029990718564249174
0.2,0.0,0.6,5,0.5824,0.00697438513418925,0.0506,0.0030996657884359083
